SIGLA,CEP,CIDADE,CNPJ,COD OBRA,ENDEREÇO,FONE,INSCR. ESTAD,KM IDA E VOLTA,L.,Ordens de Serviço,PEDÁGIO IDA E VOLTA,UF
076 - SJCSAT - São José dos Campos,12.230-000,São José dos Campos,56.642.960/0079-70,87744,"Av.: Andrômeda, 1265 - Jd. Satélite",(012) 3931-0446,645.264.410.116,,76,,,"SP "
005 - SOROC - Sorocaba,18.035-011,Sorocaba,56.642.960/0008-86,88535,"Rua Padre Luiz ,345 - Centro",(015) 3231-7362,669.094.835.110,,5,,,"SP "
240 - CONCHA - Conchal,13.835-000,Conchal,56.642.960/0242-03,436108,"Rua Antonio Bueno de Moraes, 384 – Vila Aparecida",(019) 3866-2509,270.028.927.112,,240,,,"SP "
068 - TCORAÇ - Três Corações,37.410-000,Três Corações,56.642.960/0072-01,88543,"Av.: Pres. Getúlio Vargas, 380 - Centro",(035) 3235-1000,693.649.701.0367,,68,,,MG
045 - ITAPVA - Itapeva,18.400-818,Itapeva,56.642.960/0048-73,104268,"Av.: Dona Paulina de Morais, 225 – Vila Ophélia",(015) 3522-2747,372.045.350.114,,45,,,"SP "
069 - CRUZEI - Cruzeiro,12.701-330,Cruzeiro,56.642.960/0071-12,122366,"Av.: Major Novaes, 350 - Centro",(012) 3144-0021,282.052.508.119,720,69,CRUZEIRO (https://www.notion.so/c7706777eae944cfad25cfb66b14e855?pvs=21),"R$ 148,40","SP "
261 - PARAGP - Paraguaçu Paulista,19.700-000,Paraguaçu Paulista,56.642.960/0262-57,695827,"Rua Sete de Setembro, 707 – Centro"," (018) 3362-1936",503.073.607.114,,261,,,"SP "
260 - PIRALV - Piracicaba,13.425-380,Piracicaba,56.642.960/0261-76,578193,"Av. Rio das Pedras, 2401 – Piracicamirim",(019) 3411-5193,535.700.704.110,,260,,,"SP "
004 - ITAPET - Itapetininga,18.200-005,Itapetininga,56.642.960/0007-03,120333,"Rua: Campos Salles, 700 - Centro",(015) 3272-4362,371.025.300.118,,4,,,"SP "
066 - COSMOP - Cosmópolis,13.150-013,Cosmópolis,56.642.960/0070-31,88603,"Rua: 7 de Setembro, 150 - Centro",(019) 3872-1479,276.024.677.118,120,66,COSMÓPOLIS (https://www.notion.so/d1c399015f964b8e908f1132724fdc33?pvs=21),"R$ 16,40","SP "
149 - MARILA - Marília,17.500-002,Marília,56.642.960/0127-01,128570,"Rua São Luiz, 943 - Centro",(014) 3422-2592,438.225.077.114,570,149,MARILIA CT (https://www.notion.so/549574b261984000b730fd13185dae63?pvs=21),"R$ 127,00","SP "
137 - SPTREM - São Paulo,02.315-060,São Paulo,56.642.960/0139-45,135730,"R. Coronel Valfredo de Campos, 10 - Vila Mazzei",(011) 2204-7904,116.838.765.116,,137,,,"SP "
117 - ANDRAS - Andradas,37.795-000,Andradas,56.642.960/0122-05,103476,"Rua: Cel. Oliveira, 181 - Centro",(035) 3731-2733,026.649.701.0919,,117,,,MG
220 - BJPERD - B. Jesus dos Perdões,12.955-000,B. Jesus dos Perdões,56.642.960/0222-60,335702,"Avenida Santos Dumont, 615 – Centro",(011) 4012-4611,220.018.867.119,,220,,,"SP "
036 - BOTUC - Botucatu,18.600-240,Botucatu,56.642.960/0039-82,87760,"Av.: Floriano Peixoto, 585 - Centro",(014) 3882-3589,224.044.997.110,,36,,,"SP "
212 - ITAPOL - Itápolis,14.900-000,Itápolis,56.642.960/0214-50,284633,"Rua Barão do Rio Branco, 677 – Centro",(016) 3262-7330,375.046.135.116,,212,,,"SP "
131 - PIEDAD - Piedade,18.170-000,Piedade,56.642.960/0133-50,127112,"Rua: Araújo Leite, 115 - Centro",(015) 3344-2980,526.081.990.111,,131,,,"SP "
292 - MAIRITP - Maripora,07.661-435,Maripora,56.642.960/0294-34,728247,"Avenida Pietro Petri, 479 - Terra Preta",(011) 4486-1820,433.159.509.110,,292,,,"SP "
096 - UBATUB - Ubatuba,11.680-000,Ubatuba,56.642.960/0099-13,87297,"Rua: Hans Staden, 497 - Centro",(012) 3833-1505,701.103.351.113,,96,,,"SP "
072 - ESPIN - Esp. Sto. Pinhal,13.990-000,Esp. Sto. Pinhal,56.642.960/0074-65,103472,"Praça da Independência, 408 - Centro",(019) 3651-1664,530.029.907.110,,72,,,"SP "
200 - SALMAR - Salto,13.327-300,Salto,56.642.960/0201-35,87302,"Av. José Maria Marques de Oliveira, 759 – Vila Norma",(011) 4021-5261,600.070.608.114,230,200,SALTO BR (https://www.notion.so/d41c8538457c4ae295e797f9d1f2e74c?pvs=21),"R$ 45,00","SP "
099 - NIGUAÇ - Nova Iguaçu,26.210-030,Nova Iguaçu,56.642.960/0011-81,135656,"Trav.: Rosinda Martins, 16 - Centro",(021) 2668-3340,77.100.709,,99,,,RJ
